standardId,service,serviceName,typeOfValue,enumerated,unitOfMeasurement,minimumSafeValue,maximumSafeValue,listOfEnumeratedValues,safeValue,nameOfTest,sex,ageCategory,priority
43,10,X-RAY ELBOW,file,0,,,,,,X-RAY ELBOW,,,1
44,11,X-RAY FACIAL BONES/ORBITS,file,0,,,,,,X-RAY FACIAL BONES/ORBITS,,,1
45,12,X-RAY FEMUR,file,0,,,,,,X-RAY FEMUR,,,1
46,13,X-RAY FINGER,file,0,,,,,,X-RAY FINGER,,,1
47,14,X-RAY FOOT,file,0,,,,,,X-RAY FOOT,,,1
48,15,X-RAY FOREARM,file,0,,,,,,X-RAY FOREARM,,,1
49,16,X-RAY HAND,file,0,,,,,,X-RAY HAND,,,1
50,17,X-RAY HIP,file,0,,,,,,X-RAY HIP,,,1
51,18,X-RAY KNEE-AP AND LATERAL,file,0,,,,,,X-RAY KNEE-AP AND LATERAL,,,1
52,19,X-RAY LEG,file,0,,,,,,X-RAY LEG,,,1
53,20,X-RAY LUMBER SPINE AP&LAT,file,0,,,,,,X-RAY LUMBER SPINE AP&LAT,,,1
54,21,X-RAY LUMBER SPINE AP&LAT-OBLIQUES,file,0,,,,,,X-RAY LUMBER SPINE AP&LAT-OBLIQUES,,,1
55,22,X-RAY MANDIBLE,file,0,,,,,,X-RAY MANDIBLE,,,1
56,23,X-RAY MASTOID-BILATERAL,file,0,,,,,,X-RAY MASTOID-BILATERAL,,,1
57,24,X-RAY NASAL BONE,file,0,,,,,,X-RAY NASAL BONE,,,1
58,25,X-RAY PARANASAL SINUSES,file,0,,,,,,X-RAY PARANASAL SINUSES,,,1
59,26,X-RAY PELVIC,file,0,,,,,,X-RAY PELVIC,,,1
60,27,X-RAY RIBS,file,0,,,,,,X-RAY RIBS,,,1
61,28,X-RAY SCAPULA,file,0,,,,,,X-RAY SCAPULA,,,1
62,29,X-RAY SHOULDER,file,0,,,,,,X-RAY SHOULDER,,,1
63,30,X-RAY SKELETAL SURVEY UNDER 5YRS,file,0,,,,,,X-RAY SKELETAL SURVEY UNDER 5YRS,,,1
64,31,X-RAY ADENOIDS,file,0,,,,,,X-RAY ADENOIDS,,,1
65,32,X-RAY SKULL STUDIES-AP AND LATERAL,file,0,,,,,,X-RAY SKULL STUDIES-AP AND LATERAL,,,1
66,33,X-RAY T.M JOINTS,file,0,,,,,,X-RAY T.M JOINTS,,,1
67,34,X-RAY ORBITS-GAZE UP&GAZE DOWN,file,0,,,,,,X-RAY ORBITS-GAZE UP&GAZE DOWN,,,1
68,35,USS WHOLE ABNOMEN,file,0,,,,,,USS WHOLE ABNOMEN,,,1
69,36,USS BREAST,file,0,,,,,,USS BREAST,,,1
70,37,USS THYROIDS,file,0,,,,,,USS THYROIDS,,,1
71,38,USS PELVIC,file,0,,,,,,USS PELVIC,,,1
72,39,USS KUB,file,0,,,,,,USS KUB,,,1
73,40,USS NECK,file,0,,,,,,USS NECK,,,1
74,41,ECHO,file,0,,,,,,ECHO,,,1
75,42,VASCULAR DOPPLER,file,0,,,,,,VASCULAR DOPPLER,,,1
76,43,USS BRAIN,file,0,,,,,,USS BRAIN,,,1
77,44,USS SOFT TISSUE,file,0,,,,,,USS SOFT TISSUE,,,1
78,45,USS OPTHALMOLOGY,file,0,,,,,,USS OPTHALMOLOGY,,,1
79,46,ECG,file,0,,,,,,ECG,,,1
80,47,USS OBSTETRICS,file,0,,,,,,USS OBSTETRICS,,,1
